R_calc,spp,site,treatment,t-value Q10,t-value R25,Q10est,R25est,R25 stderror,Q10 stderror,R25 interval,Q10 interval,Q10 upper,Q10 lower,temp
R.area,G,NM,C,9.543,34.73,3.50807,1.11779,0.03218,0.3676,0.0630728,0.720496,4.228566,2.787574,25
R.area ,G,NM,W,9.333,32.187,2.77857,1.19434,0.03711,0.29771,0.0727356,0.5835116,3.3620816,2.1950584,25
R.mass ,G,NM,C,4.869,20.67,2.6049,4.5599,0.1342,0.2294,0.263032,0.449624,3.054524,2.155276,25
R.mass ,G,NM,W,4.342,16.313,3.8333,6.0999,0.3739,0.8829,0.732844,1.730484,5.563784,2.102816,25
R.area ,M,NM,C,7.785,22.879,1.62346,1.33301,0.05826,0.20855,0.1141896,0.408758,2.032218,1.214702,25
R.area ,M,NM,W,6.945,21.77,1.94065,1.35919,0.06243,0.27941,0.1223628,0.5476436,2.4882936,1.3930064,25
R.mass ,M,NM,C,12.26,34.01,1.3602,9.0842,0.2671,0.111,0.523516,0.21756,1.57776,1.14264,25
R.mass ,M,NM,W,12.69,36.86,1.5426,9.4143,0.2554,0.1215,0.500584,0.23814,1.78074,1.30446,25
R.area,G,BM,C,15.19,39.85,2.04313,1.07524,0.02699,0.13451,0.0529004,0.2636396,2.3067696,1.7794904,25
R.area ,G,BM,W,15.48,39.86,1.9777,1.1083,0.0278,0.1277,0.054488,0.250292,2.227992,1.727408,25
R.mass ,G,BM,C,10.24,27.55,2.1566,4.4396,0.1612,0.2107,0.315952,0.412972,2.569572,1.743628,25
R.mass ,G,BM,W,11.57,31.89,2.3323,4.5691,0.1433,0.2016,0.280868,0.395136,2.727436,1.937164,25
R.area ,M,BM,C,12.12,28.79,1.89079,1.4532,0.05047,0.15603,0.0989212,0.3058188,2.1966088,1.5849712,25
R.area ,M,BM,W,10.25,24.59,1.7326,1.3551,0.0551,0.1691,0.107996,0.331436,2.064036,1.401164,25
R.mass ,M,BM,C,18.52,37.24,1.31306,9.95102,0.26723,0.07091,0.5237708,0.1389836,1.4520436,1.1740764,25
R.mass ,M,BM,W,12.86,27.05,1.28268,9.28589,0.34327,0.09971,0.6728092,0.1954316,1.4781116,1.0872484,25
R.mass ,M,BM,Both,20.96,43.05,1.29152,9.58666,0.22269,0.06162,0.4364724,0.1207752,1.4122952,1.1707448,25
R.mass ,M,NM,Both,17.75,50.43,1.45453,9.26409,0.18371,0.08195,0.3600716,0.160622,1.615152,1.293908,25
R.mass ,M,Both,C,20.66,48.04,1.31729,9.45949,0.19691,0.06377,0.3859436,0.1249892,1.4422792,1.1923008,25
R.mass ,M,Both,W,17.94,43.45,1.37418,9.33893,0.21495,0.07661,0.421302,0.1501556,1.5243356,1.2240244,25
R.mass ,G,BM,Both,15.55,42.48,2.2519,4.5113,0.1062,0.1448,0.208152,0.283808,2.535708,1.968092,25
R.mass ,G,NM,Both,6.156,24.571,5.1481,5.7164,0.2326,0.8363,0.455896,1.639148,6.787248,3.508952,25
R.mass ,G,Both,C,7.572,26.224,3.5046,4.9297,0.188,0.4629,0.36848,0.907284,4.411884,2.597316,25
R.mass ,G,Both,W,7.561,24.051,2.8393,5.3134,0.2209,0.3755,0.432964,0.73598,3.57528,2.10332,25
R.area,M,BM,Both,15.61,37.18,1.79865,1.39841,0.03761,0.11525,0.0737156,0.22589,2.02454,1.57276,25
R.area,M,NM,Both,10.52,31.97,1.7815,1.3493,0.0422,0.1693,0.082712,0.331828,2.113328,1.449672,25
R.area,M,Both,C,13.54,35.62,1.78159,1.39066,0.03904,0.13155,0.0765184,0.257838,2.039428,1.523752,25
R.area,M,Both,W,12.2,33,1.8098,1.3561,0.0411,0.1484,0.080556,0.290864,2.100664,1.518936,25
R.area,G,BM,Both,21.88,56.86,2.0133,1.09196,0.0192,0.09203,0.037632,0.1803788,2.1936788,1.8329212,25
R.area,G,NM,Both,13.04,46.2,3.1212,1.1551,0.025,0.2394,0.049,0.469224,3.590424,2.651976,25
R.area,G,Both,C,15.1,46.57,2.54241,1.09564,0.02353,0.16837,0.0461188,0.3300052,2.8724152,2.2124048,25
R.area,G,Both,W,15.99,46.99,2.26066,1.1492,0.02446,0.1414,0.0479416,0.277144,2.537804,1.983516,25
R.mass ,M,Both,Both,27.23,64.62,1.34446,9.40122,0.14549,0.04937,0.2851604,0.0967652,1.4412252,1.2476948,25
R.mass ,G,Both,Both,10.64,35.2,3.1384,5.1193,0.1454,0.2948,0.284984,0.577808,3.716208,2.560592,25
R.area ,M,Both,Both,18.27,48.7,1.79215,1.37284,0.02819,0.09811,0.0552524,0.1922956,1.9844456,1.5998544,25
R.area,G,Both ,Both,21.82,65.65,2.39792,1.12196,0.01709,0.10987,0.0334964,0.2153452,2.6132652,2.1825748,25
R.mass ,G,NM,C,4.869,5.223,7.5054,1.0593,0.2028,1.5413,0.397488,3.020948,10.526348,4.484452,17
R.mass ,G,NM,W,4.342,4.797,3.8333,2.0819,0.434,0.8829,0.85064,1.730484,5.563784,2.102816,17
R.mass ,G,BM,C,10.24,12.27,2.1566,2.4006,0.1957,0.2107,0.383572,0.412972,2.569572,1.743628,17
R.mass ,G,BM,W,11.57,12.94,2.3323,2.3206,0.1794,0.2016,0.351624,0.395136,2.727436,1.937164,17
R.mass ,M,NM,C,12.26,17.06,1.3602,7.1022,0.4164,0.111,0.816144,0.21756,1.57776,1.14264,17
R.mass ,M,NM,W,12.69,16.3,1.5426,6.6556,0.4084,0.1215,0.800464,0.23814,1.78074,1.30446,17
R.mass ,M,BM,C,18.52,25.59,1.31306,8.00274,0.31271,0.07091,0.6129116,0.1389836,1.4520436,1.1740764,17
R.mass ,M,BM,W,12.86,16.88,1.28268,7.60902,0.45077,0.09971,0.8835092,0.1954316,1.4781116,1.0872484,17
R.mass ,M,Both ,Both,27.23,36.58,1.34446,7.41902,0.20282,0.04937,0.3975272,0.0967652,1.4412252,1.2476948,17
R.mass ,G,NM,Both,6.156,6.707,5.1482,1.541,0.2297,0.8363,0.450212,1.639148,6.787348,3.509052,17
R.mass ,G,BM,Both,15.55,17.95,2.2519,2.3565,0.1312,0.1448,0.257152,0.283808,2.535708,1.968092,17
R.area,M,Both,Both,18.27,22.68,1.79215,0.86083,0.03796,0.09811,0.0744016,0.1922956,1.9844456,1.5998544,17
R.area,G,NM,Both,13.04,15.04,3.12116,0.46468,0.03091,0.23937,0.0605836,0.4691652,3.5903252,2.6519948,17
R.area,G,BM,Both,21.88,25.89,2.0133,0.62385,0.0241,0.09203,0.047236,0.1803788,2.1936788,1.8329212,17
,,,,,,,,,,,,,,